facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
140091,CARLE FOUNDATION HOSPITAL,611 WEST PARK STREET,URBANA,IL,61801.0,CHAMPAIGN,(888) 712-2753,,,,,,,,,,,,,,,,,4,,,,,
140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832.0,VERMILION,(217) 443-5000,98.0,1.0,1.0,99.0,91.0,8.0,1.0,95.0,82.0,14.0,4.0,93.0,77.0,20.0,3.0,91.0,,1161.0,273.0,24.0,07/01/2023,06/30/2024
140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623.0,COOK,(773) 521-1710,,,,,,,,,,,,,,,,,4,,,,,
140100,"MIDWESTERN REGION MED CENTER, INC",2520 ELISHA AVENUE,ZION,IL,60099.0,LAKE,(847) 872-4561,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,95.0,4.0,1.0,97.0,94.0,5.0,1.0,97.0,,1087.0,260.0,24.0,07/01/2023,06/30/2024
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450.0,GRUNDY,(815) 942-2932,,,,,,,,,,,,,,,,,4,,,,,
140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621.0,COOK,(773) 962-3900,95.0,5.0,0.0,98.0,93.0,5.0,2.0,96.0,83.0,14.0,3.0,93.0,62.0,35.0,3.0,86.0,3,708.0,74.0,10.0,07/01/2023,06/30/2024
140110,OSF SAINT ELIZABETH MDL CTR,1100 E NORRIS DRIVE,OTTAWA,IL,61350.0,LA SALLE,(815) 433-3100,97.0,3.0,0.0,98.0,93.0,6.0,1.0,96.0,85.0,11.0,4.0,93.0,78.0,20.0,2.0,92.0,,2823.0,751.0,27.0,07/01/2023,06/30/2024
140113,OSF HEART OF MARY MEDICAL CENTER,1400 WEST PARK AVENUE,URBANA,IL,61801.0,CHAMPAIGN,(217) 337-2000,98.0,2.0,0.0,99.0,93.0,5.0,2.0,96.0,87.0,11.0,2.0,95.0,85.0,12.0,3.0,94.0,,1524.0,375.0,27.0,07/01/2023,06/30/2024
140114,SWEDISH HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625.0,COOK,(773) 878-8200,,,,,,,,,,,,,,,,,4,,,,,
140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,60613.0,COOK,(773) 525-6780,,,,,,,,,,,,,,,,,4,,,,,
140116,NORTHWESTERN MEDICINE MCHENRY,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050.0,MC HENRY,(815) 344-5000,,,,,,,,,,,,,,,,,4,,,,,
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631.0,COOK,(773) 774-8000,,,,,,,,,,,,,,,,,4,,,,,
140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612.0,COOK,(312) 942-5000,,,,,,,,,,,,,,,,,4,,,,,
140120,PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,IL,61554.0,TAZEWELL,(309) 347-1151,,,,,,,,,,,,,,,,,4,,,,,
140122,ADVENTIST HINSDALE HOSPITAL,120 NORTH OAK ST,HINSDALE,IL,60521.0,DU PAGE,(630) 856-9000,,,,,,,,,,,,,,,,,4,,,,,
140124,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,60612.0,COOK,(312) 864-6000,,,,,,,,,,,,,,,,,4,,,,,
140125,GATEWAY REGIONAL MEDICAL CENTER,2100 MADISON AVENUE,GRANITE CITY,IL,62040.0,MADISON,(618) 798-3000,,,,,,,,,,,,,,,,,4,,,,,
140127,CARLE BROMENN MEDICAL CENTER,1304 FRANKLIN AVENUE,NORMAL,IL,61761.0,MC LEAN,(309) 454-1400,,,,,,,,,,,,,,,,,4,,,,,
140130,NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,60045.0,LAKE,(847) 234-5600,,,,,,,,,,,,,,,,,4,,,,,
140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629.0,COOK,(773) 884-9000,92.0,7.0,1.0,96.0,86.0,10.0,4.0,91.0,77.0,16.0,7.0,90.0,63.0,30.0,7.0,84.0,,1772.0,227.0,13.0,07/01/2023,06/30/2024
140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,DECATUR,IL,62526.0,MACON,(217) 876-8121,,,,,,,,,,,,,,,,,4,,,,,
140137,HSHS HOLY FAMILY HOSPITAL INC,200 HEALTH CARE DR,GREENVILLE,IL,62246.0,BOND,(618) 664-1230,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,85.0,12.0,3.0,94.0,76.0,21.0,3.0,91.0,,818.0,212.0,26.0,07/01/2023,06/30/2024
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230.0,CLINTON,(618) 526-4511,99.0,1.0,0.0,99.0,95.0,4.0,1.0,97.0,93.0,6.0,1.0,96.0,86.0,14.0,0.0,95.0,,1960.0,615.0,32.0,07/01/2023,06/30/2024
140148,MEMORIAL MEDICAL CENTER,701 N FIRST ST,SPRINGFIELD,IL,62702.0,SANGAMON,(217) 788-3000,,,,,,,,,,,,,,,,,4,,,,,
140150,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612.0,COOK,(312) 996-3900,97.0,3.0,0.0,99.0,92.0,7.0,1.0,95.0,86.0,11.0,3.0,94.0,82.0,15.0,3.0,93.0,,8104.0,1026.0,13.0,07/01/2023,06/30/2024
140155,PRESENCE ST MARYS HOSPITAL,500 W COURT ST,KANKAKEE,IL,60901.0,KANKAKEE,(815) 937-2490,,,,,,,,,,,,,,,,,4,,,,,
140158,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO,2525 S MICHIGAN AVE,CHICAGO,IL,60616.0,COOK,(312) 567-2000,,,,,,,,,,,,,,,,,4,,,,,
140160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032.0,STEPHENSON,(815) 599-6000,,,,,,,,,,,,,,,,,4,,,,,
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764.0,LIVINGSTON,(815) 842-2828,97.0,3.0,0.0,98.0,94.0,5.0,1.0,96.0,88.0,10.0,2.0,94.0,82.0,15.0,3.0,93.0,,1569.0,352.0,23.0,07/01/2023,06/30/2024
140162,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,BLOOMINGTON,IL,61701.0,MC LEAN,(309) 662-3311,96.0,3.0,1.0,98.0,91.0,7.0,2.0,95.0,84.0,13.0,3.0,93.0,80.0,16.0,4.0,92.0,,2107.0,547.0,28.0,07/01/2023,06/30/2024
140164,MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON,CARBONDALE,IL,62901.0,JACKSON,(618) 549-0721,97.0,2.0,1.0,98.0,90.0,8.0,2.0,94.0,87.0,10.0,3.0,94.0,84.0,13.0,3.0,93.0,,2135.0,350.0,21.0,07/01/2023,06/30/2024
140166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,DECATUR,IL,62521.0,MACON,(217) 464-2966,96.0,4.0,0.0,98.0,88.0,10.0,2.0,93.0,79.0,17.0,4.0,91.0,72.0,24.0,4.0,89.0,,2506.0,558.0,22.0,07/01/2023,06/30/2024
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,60461.0,COOK,(708) 747-4000,,,,,,,,,,,,,,,,,4,,,,,
140174,PRESENCE MERCY MEDICAL CENTER,1325 N HIGHLAND AVENUE,AURORA,IL,60506.0,KANE,(630) 859-2222,,,,,,,,,,,,,,,,,4,,,,,
140177,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,60649.0,COOK,(773) 947-7500,,,,,,,,,,,,,,,,,4,,,,,
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,2800 W 95TH ST,EVERGREEN PARK,IL,60805.0,COOK,(708) 422-6200,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,90.0,8.0,2.0,95.0,84.0,14.0,2.0,93.0,,2224.0,462.0,21.0,07/01/2023,06/30/2024
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,2233 W DIVISION ST,CHICAGO,IL,60622.0,COOK,(312) 770-2000,,,,,,,,,,,,,,,,,4,,,,,
140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,60617.0,COOK,(773) 356-5000,,,,,,,,,,,,,,,,,4,,,,,
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,60657.0,COOK,(773) 975-1600,,,,,,,,,,,,,,,,,4,,,,,
140185,MEMORIAL HOSPITAL,4500 MEMORIAL DRIVE,BELLEVILLE,IL,62226.0,ST. CLAIR,(618) 233-7750,,,,,,,,,,,,,,,,,4,,,,,
140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST,KANKAKEE,IL,60901.0,KANKAKEE,(815) 933-1671,,,,,,,,,,,,,,,,,4,,,,,
140187,HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,62269.0,ST. CLAIR,(618) 234-2120,97.0,3.0,0.0,98.0,94.0,5.0,1.0,97.0,91.0,8.0,1.0,96.0,87.0,12.0,1.0,95.0,,9214.0,2410.0,28.0,07/01/2023,06/30/2024
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE,MATTOON,IL,61938.0,COLES,(217) 258-2513,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,91.0,7.0,2.0,96.0,88.0,11.0,1.0,95.0,,2778.0,895.0,32.0,07/01/2023,06/30/2024
140191,INGALLS MEMORIAL HOSPITAL,1 INGALLS DRIVE,HARVEY,IL,60426.0,COOK,(708) 333-2300,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,86.0,13.0,1.0,95.0,82.0,16.0,2.0,93.0,,1120.0,266.0,24.0,07/01/2023,06/30/2024
140197,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,60640.0,COOK,(773) 271-9040,,,,,,,,,,,,,,,,,4,,,,,
140200,ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,60126.0,DU PAGE,(331) 221-0130,97.0,3.0,0.0,98.0,90.0,8.0,2.0,94.0,89.0,9.0,2.0,95.0,87.0,12.0,1.0,95.0,,4685.0,942.0,22.0,07/01/2023,06/30/2024
140202,ADVOCATE CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,60048.0,LAKE,(847) 362-2900,,,,,,,,,,,,,,,,,4,,,,,
140206,HUMBOLDT PARK HEALTH,1044 N FRANCISCO AVE,CHICAGO,IL,60622.0,COOK,(773) 292-8200,,,,,,,,,,,,,,,,,4,,,,,
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,60453.0,COOK,(708) 684-8000,,,,,,,,,,,,,,,,,4,,,,,
140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE,PEORIA,IL,61636.0,PEORIA,(309) 672-5522,,,,,,,,,,,,,,,,,4,,,,,
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946.0,SALINE,(618) 253-7671,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,87.0,12.0,1.0,95.0,82.0,17.0,1.0,93.0,,1356.0,292.0,23.0,07/01/2023,06/30/2024
140211,NORTHWESTERN MEDICINE DELNOR COMMUNITY HOSPITAL,300 RANDALL RD,GENEVA,IL,60134.0,KANE,(630) 208-3000,,,,,,,,,,,,,,,,,4,,,,,
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1900 SILVER CROSS BLVD,NEW LENOX,IL,60451.0,WILL,(815) 300-1100,,,,,,,,,,,,,,,,,4,,,,,
140217,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,77 N AIRLITE STREET,ELGIN,IL,60123.0,KANE,(847) 695-3200,,,,,,,,,,,,,,,,,4,,,,,
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,60068.0,COOK,(847) 723-2210,,,,,,,,,,,,,,,,,4,,,,,
140224,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657.0,COOK,(773) 665-3000,,,,,,,,,,,,,,,,,4,,,,,
140228,UW HEALTH,1401 EAST STATE STREET,ROCKFORD,IL,61104.0,WINNEBAGO,(815) 968-4400,97.0,3.0,0.0,98.0,94.0,5.0,1.0,96.0,83.0,13.0,4.0,93.0,82.0,15.0,3.0,92.0,,1164.0,208.0,18.0,07/01/2023,06/30/2024
140231,EDWARD HOSPITAL,801 SOUTH WASHINGTON,NAPERVILLE,IL,60540.0,DU PAGE,(630) 527-3000,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,88.0,10.0,2.0,95.0,85.0,14.0,1.0,94.0,,5403.0,1190.0,23.0,07/01/2023,06/30/2024
140233,SAINT ANTHONY MEDICAL CENTER,5666 EAST STATE STREET,ROCKFORD,IL,61108.0,WINNEBAGO,(815) 226-2000,96.0,3.0,1.0,98.0,91.0,8.0,1.0,95.0,85.0,12.0,3.0,94.0,82.0,16.0,2.0,93.0,,2210.0,526.0,25.0,07/01/2023,06/30/2024
140239,JAVON BEA HOSPITAL,8201 E RIVERSIDE BLVD,ROCKFORD,IL,61114.0,WINNEBAGO,(815) 971-7000,,,,,,,,,,,,,,,,,4,,,,,
140242,NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190.0,DU PAGE,(630) 682-1600,,,,,,,,,,,,,,,,,4,,,,,
140251,COMMUNITY FIRST MEDICAL CENTER,5645 W ADDISON STREET,CHICAGO,IL,60634.0,COOK,(773) 282-7000,,,,,,,,,,,,,,,,,4,,,,,
140252,NORTHWEST COMMUNITY HOSPITAL 1,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005.0,COOK,(847) 618-1000,,,,,,,,,,,,,,,,,4,,,,,
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007.0,COOK,(847) 437-5500,,,,,,,,,,,,,,,,,4,,,,,
140275,GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI,801 ILLINI DR,SILVIS,IL,61282.0,ROCK ISLAND,(309) 281-4000,,,,,,,,,,,,,,,,,4,,,,,
140276,LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,IL,60153.0,COOK,(708) 216-9000,,,,,,,,,,,,,,,,,4,,,,,
140280,TRINITY ROCK ISLAND,2701 17TH ST,ROCK ISLAND,IL,61201.0,ROCK ISLAND,(309) 779-5000,,,,,,,,,,,,,,,,,4,,,,,
140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611.0,COOK,(312) 926-2000,,,,,,,,,,,,,,,,,4,,,,,
140286,NORTHWESTERN MEDICINE KISHWAUKEE HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115.0,DE KALB,(815) 756-1521,,,,,,,,,,,,,,,,,4,,,,,
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,3815 HIGHLAND AVENUE,DOWNERS GROVE,IL,60515.0,DU PAGE,(630) 275-5900,,,,,,,,,,,,,,,,,4,,,,,
140289,ANDERSON HOSPITAL,6800 STATE ROUTE 162,MARYVILLE,IL,62062.0,MADISON,(618) 288-5711,,,,,,,,,,,,,,,,,4,,,,,
140290,ST ALEXIUS MEDICAL CENTER,1555 N BARRINGTON RD,HOFFMAN ESTATES,IL,60169.0,COOK,(847) 843-2000,,,,,,,,,,,,,,,,,4,,,,,
140291,ADVOCATE GOOD SHEPHERD HOSPITAL,450 WEST HIGHWAY 22,BARRINGTON,IL,60010.0,LAKE,(847) 381-9600,,,,,,,,,,,,,,,,,4,,,,,
140292,UCHICAGO MEDICINE ADVENTHEALTH GLENOAKS,701 WINTHROP AVENUE,GLENDALE HEIGHTS,IL,60139.0,DU PAGE,(630) 545-8000,,,,,,,,,,,,,,,,,4,,,,,
140300,PROVIDENT HOSPITAL OF CHICAGO,500 E 51ST ST,CHICAGO,IL,60615.0,COOK,(312) 572-2000,,,,,,,,,,,,,,,,,4,,,,,
140304,UCHICAGO MEDICINE ADVENTHEALTH BOLINGBROOK,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,60440.0,WILL,(630) 312-5000,,,,,,,,,,,,,,,,,4,,,,,
140308,MERCYHEALTH HOSPITAL & PHYSICIAN CLINIC-CRYSTAL LA,875 S ROUTE 31,CRYSTAL LAKE,IL,60014.0,MC HENRY,(792) 220-5500,,,,,,,,,,,,,,,,,4,,,,,
141301,KIRBY MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,MONTICELLO,IL,61856.0,PIATT,(217) 762-2115,,,,,,,,,,,,,,,,,4,,,,,
141310,OSF SAINT PAUL MEDICAL CENTER,1401 E 12TH STREET,MENDOTA,IL,61342.0,LA SALLE,(815) 539-7461,96.0,4.0,0.0,98.0,90.0,8.0,2.0,94.0,83.0,15.0,2.0,93.0,78.0,20.0,2.0,91.0,,431.0,117.0,27.0,07/01/2023,06/30/2024
141317,GIBSON COMMUNITY HOSPITAL,1120 N MELVIN STREET,GIBSON CITY,IL,60936.0,FORD,(217) 784-4251,,,,,,,,,,,,,,,,,4,,,,,
141318,OSF HOLY FAMILY MEDICAL CENTER,1000 W HARLEM AVENUE,MONMOUTH,IL,61462.0,WARREN,(309) 734-3141,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,88.0,9.0,3.0,95.0,83.0,15.0,2.0,93.0,,1138.0,359.0,32.0,07/01/2023,06/30/2024
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656.0,LOGAN,(217) 732-2161,,,,,,,,,,,,,,,,,4,,,,,
141325,OSF SAINT LUKE MEDICAL CENTER,1051 WEST SOUTH STREET,KEWANEE,IL,61443.0,HENRY,(309) 853-3361,99.0,1.0,0.0,99.0,93.0,5.0,2.0,95.0,85.0,13.0,2.0,94.0,82.0,15.0,3.0,93.0,,530.0,142.0,27.0,07/01/2023,06/30/2024
141327,WABASH GENERAL HOSPITAL 1,1418 COLLEGE DRIVE,MOUNT CARMEL,IL,62863.0,WABASH,(618) 262-8621,,,,,,,,,,,,,,,,,4,,,,,
141334,ST JOSEPH MEMORIAL HOSPITAL,2 SOUTH HOSPITAL DRIVE,MURPHYSBORO,IL,62966.0,JACKSON,(618) 684-3156,99.0,1.0,0.0,99.0,93.0,6.0,1.0,96.0,91.0,8.0,1.0,96.0,87.0,12.0,1.0,95.0,,4006.0,990.0,26.0,07/01/2023,06/30/2024
141335,MERCY HARVARD HOSPITAL,901 S GRANT STREET,HARVARD,IL,60033.0,MC HENRY,(815) 943-5431,,,,,,,,,,,,,,,,,4,,,,,
141336,ST JOSEPH'S HOSPITAL,12866 TROXLER AVENUE,HIGHLAND,IL,62249.0,MADISON,(618) 651-2600,97.0,2.0,1.0,98.0,92.0,7.0,1.0,95.0,89.0,8.0,3.0,95.0,80.0,18.0,2.0,92.0,,1382.0,346.0,25.0,07/01/2023,06/30/2024
141337,OSF SAINT CLARE MEDICAL CENTER,530 PARK AVENUE EAST,PRINCETON,IL,61356.0,BUREAU,(815) 875-2811,97.0,3.0,0.0,99.0,91.0,8.0,1.0,95.0,85.0,12.0,3.0,93.0,79.0,19.0,2.0,92.0,,1748.0,483.0,28.0,07/01/2023,06/30/2024
141339,TAYLORVILLE MEMORIAL HOSPITAL,201 EAST PLEASANT STREET,TAYLORVILLE,IL,62568.0,CHRISTIAN,(217) 824-3331,,,,,,,,,,,,,,,,,4,,,,,
141340,VALLEY WEST COMMUNITY HOSPITAL,1301 NORTH MAIN STREET,SANDWICH,IL,60548.0,DE KALB,(815) 786-8484,,,,,,,,,,,,,,,,,4,,,,,
141343,CRAWFORD MEMORIAL HOSPITAL,1000 NORTH ALLEN STREET,ROBINSON,IL,62454.0,CRAWFORD,(618) 544-3131,99.0,1.0,0.0,99.0,96.0,3.0,1.0,98.0,94.0,6.0,0.0,97.0,90.0,9.0,1.0,96.0,,1003.0,249.0,25.0,07/01/2023,06/30/2024
141346,FAYETTE COUNTY HOSPITAL,650 W TAYLOR ST,VANDALIA,IL,62471.0,FAYETTE,(618) 283-1231,98.0,2.0,0.0,99.0,96.0,3.0,1.0,97.0,87.0,11.0,2.0,94.0,81.0,18.0,1.0,93.0,,432.0,101.0,24.0,07/01/2023,06/30/2024
141350,ST FRANCIS HOSPITAL,1215 FRANCISCAN DR,LITCHFIELD,IL,62056.0,MONTGOMERY,(217) 324-2191,99.0,1.0,0.0,99.0,95.0,5.0,0.0,97.0,93.0,6.0,1.0,96.0,87.0,12.0,1.0,95.0,,1425.0,455.0,32.0,07/01/2023,06/30/2024
141352,JACKSONVILLE MEMORIAL HOSPITAL,1600 W WALNUT ST,JACKSONVILLE,IL,62650.0,MORGAN,(217) 245-9551,,,,,,,,,,,,,,,,,4,,,,,
150001,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN,46131.0,JOHNSON,(317) 736-3300,,,,,,,,,,,,,,,,,4,,,,,
150002,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402.0,LAKE,(219) 886-4000,94.0,6.0,0.0,97.0,90.0,8.0,2.0,94.0,82.0,13.0,5.0,91.0,76.0,19.0,5.0,89.0,3,505.0,87.0,19.0,07/01/2023,06/30/2024
150005,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122.0,HENDRICKS,(317) 745-4451,99.0,1.0,0.0,99.0,94.0,5.0,1.0,97.0,94.0,5.0,1.0,97.0,93.0,7.0,0.0,98.0,,883.0,289.0,33.0,07/01/2023,06/30/2024
150006,NORTHWEST HEALTH-LA PORTE,1331 STATE STREET,LA PORTE,IN,46350.0,LA PORTE,(219) 326-1234,,,,,,,,,,,,,,,,,4,,,,,
150007,COMMUNITY HOWARD REGIONAL HEALTH INC.,3500 S LAFOUNTAIN ST,KOKOMO,IN,46902.0,HOWARD,(765) 776-8000,,,,,,,,,,,,,,,,,4,,,,,
150008,ST CATHERINE HOSPITAL INC,4321 FIR STREET,EAST CHICAGO,IN,46312.0,LAKE,(219) 392-7004,,,,,,,,,,,,,,,,,4,,,,,
150009,CLARK MEMORIAL HOSPITAL,1220 MISSOURI AVE,JEFFERSONVILLE,IN,47130.0,CLARK,(812) 283-2147,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,81.0,16.0,3.0,92.0,69.0,30.0,1.0,89.0,,1494.0,312.0,21.0,07/01/2023,06/30/2024
150010,ASCENSION ST VINCENT KOKOMO,1907 W SYCAMORE ST,KOKOMO,IN,46904.0,HOWARD,(765) 452-5611,,,,,,,,,,,,,,,,,4,,,,,
150011,MARION GENERAL HOSPITAL,441 N WABASH AVE,MARION,IN,46952.0,GRANT,(765) 660-6000,,,,,,,,,,,,,,,,,4,,,,,
150012,SAINT JOSEPH REGIONAL MEDICAL CENTER,5215 HOLY CROSS PKWY,MISHAWAKA,IN,46545.0,ST. JOSEPH,(574) 335-5000,,,,,,,,,,,,,,,,,4,,,,,
150015,FRANCISCAN HEALTH MICHIGAN CITY,3500 FRANCISCAN WAY,MICHIGAN CITY,IN,46360.0,LA PORTE,(219) 879-8511,,,,,,,,,,,,,,,,,4,,,,,
150017,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804.0,ALLEN,(260) 435-7001,,,,,,,,,,,,,,,,,4,,,,,
150018,ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IN,46514.0,ELKHART,(574) 294-2621,,,,,,,,,,,,,,,,,4,,,,,
150021,PARKVIEW REGIONAL MEDICAL CENTER,11109 PARKVIEW PLAZA DRIVE,FORT WAYNE,IN,46845.0,ALLEN,(260) 266-1000,,,,,,,,,,,,,,,,,4,,,,,
150022,FRANCISCAN HEALTH CRAWFORDSVILLE,1710 LAFAYETTE RD,CRAWFORDSVILLE,IN,47933.0,MONTGOMERY,(765) 362-2800,,,,,,,,,,,,,,,,,4,,,,,
150023,UNION HOSPITAL INC,1606 N SEVENTH ST,TERRE HAUTE,IN,47804.0,VIGO,(812) 238-7606,,,,,,,,,,,,,,,,,4,,,,,
150026,GOSHEN HOSPITAL,200 HIGH PARK AVE,GOSHEN,IN,46526.0,ELKHART,(574) 364-1000,,,,,,,,,,,,,,,,,4,,,,,
150030,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,NEW CASTLE,IN,47362.0,HENRY,(765) 521-0890,99.0,1.0,0.0,99.0,96.0,3.0,1.0,98.0,93.0,6.0,1.0,97.0,90.0,9.0,1.0,96.0,,1694.0,584.0,34.0,07/01/2023,06/30/2024
150034,ST MARY MEDICAL CENTER INC,1500 S LAKE PARK AVE,HOBART,IN,46342.0,LAKE,(219) 942-0551,,,,,,,,,,,,,,,,,4,,,,,
150035,NORTHWEST HEALTH - PORTER,85 EAST US HWY 6,VALPARAISO,IN,46383.0,PORTER,(219) 983-8300,,,,,,,,,,,,,,,,,4,,,,,
150037,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN,46140.0,HANCOCK,(317) 462-5544,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,90.0,10.0,0.0,96.0,89.0,11.0,0.0,96.0,,1754.0,360.0,21.0,07/01/2023,06/30/2024
150042,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN,47591.0,KNOX,(812) 882-5220,,,,,,,,,,,,,,,,,4,,,,,
