facility_name,facility_id,npi,citytown,state,zip_code,year,asc1_rate,asc1_footnote,asc2_rate,asc2_footnote,asc3_rate,asc3_footnote,asc4_rate,asc4_footnote,asc9_rate,asc9_footnote,asc11_rate,asc11_footnote,asc12_total_cases,asc12_performance_category,asc12_rshv_rate,asc12_interval_lower_limit,asc12_interval_upper_limit,asc12_footnote,asc13_rate,asc13_footnote,asc14_rate,asc14_footnote,asc17_total_cases,asc17_performance_category,asc17_rshv_rate,asc17_interval_lower_limit,asc17_interval_upper_limit,asc17_footnote,asc18_total_cases,asc18_performance_category,asc18_rshv_rate,asc18_interval_lower_limit,asc18_interval_upper_limit,asc18_footnote,asc19_total_cases,asc19_performance_category,asc19_rshv_rate,asc19_interval_lower_limit,asc19_interval_upper_limit,asc19_footnote,asc20_sample,asc20_rate,asc20_footnote
VALLEY PLASTIC SURGERY,38C0001100,1124396544,TALENT,OR,97540.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,248.0,No Different than expected,0.9,0.5,1.6,,,,5.0
VALLEY PLASTIC SURGERY,38C0001100,1124396544,TALENT,OR,97540.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
COMPREHENSIVE PAIN ASC LLC,05C0002172,1124406632,SAN DIEGO,CA,92128.0,2023,0.0,,0.0,,0.0,,0.2,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
COMPREHENSIVE PAIN ASC LLC,05C0002172,1124406632,SAN DIEGO,CA,92128.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,5.0,,1.0
VALLEY SURGERY CENTER,05C0002128,1124411848,VAN NUYS,CA,91406.0,2023,0.0,,0.0,,0.0,,0.17,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,7.0,,,5.0
VALLEY SURGERY CENTER,05C0002128,1124411848,VAN NUYS,CA,91406.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,4.0,,1.0
ALLEGHENEY CLINIC DBA WEXFORD SURGERY CENTER,39C0001314,1124439450,WEXFORD,PA,15090.0,2023,0.0,,0.01,,0.0,,0.09,,93.27,,,5.0,772.0,No Different Than the National Rate,12.0,8.6,16.7,,96.94,,0.0,,286.0,No Different Than the National Rate,3.0,2.0,4.5,,36.0,No Different Than the National Rate,5.2,3.3,8.1,,44.0,No Different than expected,1.0,0.5,1.9,,,,5.0
ALLEGHENEY CLINIC DBA WEXFORD SURGERY CENTER,39C0001314,1124439450,WEXFORD,PA,15090.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,39.0,0.0,
POOLE ENDOSCOPY CENTER LLC,21C0001191,1124443809,WESTMINSTER,MD,21157.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,111.0,No Different Than the National Rate,9.9,6.9,14.4,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
POOLE ENDOSCOPY CENTER LLC,21C0001191,1124443809,WESTMINSTER,MD,21157.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
EDISON SURGERY CENTER LLC,31C0001109,1124484019,EDISON,NJ,8837.0,2023,,5.0,,5.0,,5.0,0.06,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
EDISON SURGERY CENTER LLC,31C0001109,1124484019,EDISON,NJ,8837.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,22.0,100.0,
MEMORIAL HERMANN SURGERY CENTER PINECROFT,45C0001607,1124492541,SPRING,TX,77380.0,2023,0.0,,0.04,,0.0,,0.1,,84.13,,,5.0,830.0,No Different Than the National Rate,8.9,6.3,12.3,,100.0,,,5.0,342.0,No Different Than the National Rate,2.4,1.6,3.5,,267.0,No Different Than the National Rate,5.2,3.7,7.1,,42.0,No Different than expected,1.0,0.5,1.9,,,,5.0
MEMORIAL HERMANN SURGERY CENTER PINECROFT,45C0001607,1124492541,SPRING,TX,77380.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,120.0,0.0,
MOHS AND SKIN SURGERY CENTER LLC,21C0001586,1124492996,LUTHERVILLE,MD,21093.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,1269.0,No Different than expected,0.7,0.5,1.1,,,,5.0
MOHS AND SKIN SURGERY CENTER LLC,21C0001586,1124492996,LUTHERVILLE,MD,21093.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,15.0,100.0,
ENDOSCOPY CENTER OF INLAND EMPIRE LLC,05C0001617,1124498357,MURRIETA,CA,92562.0,2023,,5.0,,5.0,,5.0,0.07,,91.54,,,5.0,1371.0,No Different Than the National Rate,11.4,8.4,15.3,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
ENDOSCOPY CENTER OF INLAND EMPIRE LLC,05C0001617,1124498357,MURRIETA,CA,92562.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,32.0,29.0,
INDIANA PAIN CENTERS EVANSVILLE LLC,15C0001207,1124526306,EVANSVILLE,IN,47714.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
INDIANA PAIN CENTERS EVANSVILLE LLC,15C0001207,1124526306,EVANSVILLE,IN,47714.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
UROLOGY SURGERY CENTER JOHNS CREEK,11C0001467,1124571104,JOHNS CREEK,GA,30097.0,2023,0.0,,0.0,,0.0,,0.09,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,,,,,,5.0,465.0,No Different Than the National Rate,4.8,3.4,6.5,,,,,,,5.0,,,5.0
UROLOGY SURGERY CENTER JOHNS CREEK,11C0001467,1124571104,JOHNS CREEK,GA,30097.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,39.0,23.7,
GATEWAY SURGICAL CENTER,45C0001708,1124587548,EL PASO,TX,79903.0,2023,,5.0,0.07,,,5.0,0.02,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
GATEWAY SURGICAL CENTER,45C0001708,1124587548,EL PASO,TX,79903.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,18.0,94.4,
CHARLOTTE SURGERY CENTER,34C0001207,1124594338,CHARLOTTE,NC,28211.0,2023,0.04,,0.02,,0.0,,0.42,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,729.0,No Different Than the National Rate,3.0,2.2,4.0,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
CHARLOTTE SURGERY CENTER,34C0001207,1124594338,CHARLOTTE,NC,28211.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,245.0,2.8,
GRAND RIVER SURGERY CENTER LLC,23C0001151,1124605910,EAST LANSING,MI,48823.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,64.0,No Different Than the National Rate,2.3,1.5,3.6,,,,,,,5.0,73.0,No Different than expected,1.1,0.6,1.9,,,,5.0
GRAND RIVER SURGERY CENTER LLC,23C0001151,1124605910,EAST LANSING,MI,48823.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,73.0,0.0,
MILWAUKEE SURGICENTER LLC,52C0001133,1124612924,FRANKLIN,WI,53132.0,2023,0.0,,0.06,,0.03,,0.14,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,44.0,No Different Than the National Rate,2.3,1.5,3.6,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
MILWAUKEE SURGICENTER LLC,52C0001133,1124612924,FRANKLIN,WI,53132.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,26.0,61.5,
VIRGINIA CARDIOVASCULAR SPECIALISTS DBA VCS HEART AND VASCULAR CENTER,49C0001103,1124777321,HENRICO,VA,23229.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,7.0,,,5.0
VIRGINIA CARDIOVASCULAR SPECIALISTS DBA VCS HEART AND VASCULAR CENTER,49C0001103,1124777321,HENRICO,VA,23229.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,37.0,13.5,
SIGHT PARTNERS PHYSICIANS PC DBA EMPIRE EYE PHYSICIANS,50C0001267,1124792403,SPOKANE VALLEY,WA,99216.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SIGHT PARTNERS PHYSICIANS PC DBA EMPIRE EYE PHYSICIANS,50C0001267,1124792403,SPOKANE VALLEY,WA,99216.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,17.0,0.0,
CAMPUS EYE GROUP ASC,31C0001026,1134101256,HAMILTON,NJ,8690.0,2023,0.0,,0.0,,0.0,,0.02,,,5.0,,5.0,,,,,,5.0,,5.0,0.35,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
CAMPUS EYE GROUP ASC,31C0001026,1134101256,HAMILTON,NJ,8690.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,36.0,0.0,
MIDWEST SURGERY CENTER LC,17C0001039,1134109523,WICHITA,KS,67214.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
MIDWEST SURGERY CENTER LC,17C0001039,1134109523,WICHITA,KS,67214.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
PHYSICIANS SURGERY CENTER OF KNOXVILLE LLC,44C0001000,1134126097,KNOXVILLE,TN,37916.0,2023,,5.0,0.05,,,5.0,0.32,,54.17,,,5.0,56.0,No Different Than the National Rate,9.7,6.6,14.4,,100.0,,,5.0,364.0,No Different Than the National Rate,2.4,1.6,3.5,,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,,5.0
PHYSICIANS SURGERY CENTER OF KNOXVILLE LLC,44C0001000,1134126097,KNOXVILLE,TN,37916.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,163.0,0.6,
MORGANTON EYE PHYSICIANS PA,34C0001027,1134135213,MORGANTON,NC,28655.0,2023,0.0,,0.03,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,100.0,,0.27,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
MORGANTON EYE PHYSICIANS PA,34C0001027,1134135213,MORGANTON,NC,28655.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,28.0,1.1,
ARTHROSCOPIC SURGERY CENTER LLC,52C0001046,1134140122,APPLETON,WI,54913.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
ARTHROSCOPIC SURGERY CENTER LLC,52C0001046,1134140122,APPLETON,WI,54913.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
OCEAN SPRING SURGICAL AND ENDOSCOPY CENTER,25C0001036,1134157225,OCEAN SPRINGS,MS,39564.0,2023,0.0,,0.04,,0.0,,0.09,,100.0,,,5.0,1463.0,No Different Than the National Rate,7.4,5.3,10.0,,100.0,,0.25,,,Number of Cases Too Small,,,,1.0,338.0,No Different Than the National Rate,5.3,3.7,7.4,,124.0,No Different than expected,0.9,0.5,1.5,,,,5.0
OCEAN SPRING SURGICAL AND ENDOSCOPY CENTER,25C0001036,1134157225,OCEAN SPRINGS,MS,39564.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,66.0,3.0,
SPRING CREEK SURGERY CENTER LLC,04C0001054,1134177256,HOT SPRINGS,AR,71913.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,1196.0,No Different than expected,1.0,0.7,1.4,,,,5.0
SPRING CREEK SURGERY CENTER LLC,04C0001054,1134177256,HOT SPRINGS,AR,71913.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,1.0,,1.0
JACKSONVILLE SURGERY CENTER LTD,10C0001041,1134182546,JACKSONVILLE,FL,32256.0,2023,0.0,,0.04,,0.02,,0.08,,74.6,,,5.0,374.0,No Different Than the National Rate,9.9,6.9,14.1,,100.0,,0.0,,,Number of Cases Too Small,,,,1.0,198.0,No Different Than the National Rate,4.6,3.2,6.8,,61.0,No Different than expected,0.9,0.5,1.7,,,,5.0
JACKSONVILLE SURGERY CENTER LTD,10C0001041,1134182546,JACKSONVILLE,FL,32256.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,183.0,0.0,
CORAL SPRINGS SURGICENTER LTD,10C0001187,1134182660,CORAL SPRINGS,FL,33071.0,2023,0.0,,0.01,,0.0,,0.25,,80.21,,,5.0,123.0,No Different Than the National Rate,9.5,6.5,13.8,,100.0,,0.79,,,Number of Cases Too Small,,,,1.0,53.0,No Different Than the National Rate,5.6,3.6,8.6,,37.0,No Different than expected,1.0,0.5,1.8,,,,5.0
CORAL SPRINGS SURGICENTER LTD,10C0001187,1134182660,CORAL SPRINGS,FL,33071.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,231.0,0.0,
TOPEKA SURGERY CENTER,17C0001061,1134183056,TOPEKA,KS,66614.0,2023,0.0,,0.0,,0.0,,0.06,,,5.0,,5.0,,,,,,5.0,,5.0,0.21,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
TOPEKA SURGERY CENTER,17C0001061,1134183056,TOPEKA,KS,66614.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,17.0,0.0,
NORTH PALM BEACH COUNTY SURGERY CENTER LLC,10C0001173,1134183908,PALM BEACH GARDENS,FL,33410.0,2023,0.0,,0.04,,0.0,,0.14,,92.06,,,5.0,541.0,No Different Than the National Rate,11.5,8.2,16.0,,100.0,,0.7,,138.0,No Different Than the National Rate,2.2,1.5,3.3,,92.0,No Different Than the National Rate,5.7,3.8,8.5,,88.0,No Different than expected,1.0,0.6,2.0,,,,5.0
NORTH PALM BEACH COUNTY SURGERY CENTER LLC,10C0001173,1134183908,PALM BEACH GARDENS,FL,33410.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,162.0,0.0,
WASHINGTON ORTHOPAEDIC CENTER INC PS,50C0001080,1134218167,CENTRALIA,WA,98531.0,2023,,5.0,,1.0,,5.0,,1.0,,5.0,,5.0,,,,,,5.0,98.78,,,5.0,54.0,No Different Than the National Rate,2.5,1.6,3.9,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
WASHINGTON ORTHOPAEDIC CENTER INC PS,50C0001080,1134218167,CENTRALIA,WA,98531.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,26.0,7.7,
BERKS AMBULATORY SURGERY CENTER LLC,39C0001183,1134241946,WYOMISSING,PA,19610.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,201.0,No Different than expected,0.9,0.5,1.6,,,,5.0
BERKS AMBULATORY SURGERY CENTER LLC,39C0001183,1134241946,WYOMISSING,PA,19610.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,9.0,,1.0
GROSSNICKLE EYE CENTER INC,15C0001018,1134259179,WARSAW,IN,46580.0,2023,0.0,,0.0,,0.01,,0.09,,,5.0,,5.0,,,,,,5.0,,5.0,0.04,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
GROSSNICKLE EYE CENTER INC,15C0001018,1134259179,WARSAW,IN,46580.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,29.0,0.0,
NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,14C0001041,1134262868,LINCOLNWOOD,IL,60712.0,2023,0.0,,0.03,,0.0,,0.08,,78.57,,,5.0,66.0,No Different Than the National Rate,9.6,6.6,13.9,,100.0,,0.32,,43.0,No Different Than the National Rate,2.2,1.3,3.5,,,,,,,5.0,37.0,No Different than expected,0.9,0.5,1.8,,,,5.0
NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,14C0001041,1134262868,LINCOLNWOOD,IL,60712.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,26.0,89.9,
OUTPATIENT CENTER FOR FOOT SURGERY,11C0001059,1134275688,GRIFFIN,GA,30224.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
OUTPATIENT CENTER FOR FOOT SURGERY,11C0001059,1134275688,GRIFFIN,GA,30224.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SKYLINE AMBULATORY SURGERY CENTER,38C0001032,1134283005,SALEM,OR,97306.0,2023,0.0,,0.02,,0.0,,0.17,,97.96,,,5.0,,Number of Cases Too Small,,,,1.0,99.78,,0.27,,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,,5.0
SKYLINE AMBULATORY SURGERY CENTER,38C0001032,1134283005,SALEM,OR,97306.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,47.0,10.6,
PLYMOUTH LASER AND SURGICAL CENTER PC,22C0001019,1134293814,PLYMOUTH,MA,2360.0,2023,0.0,,0.0,,0.0,,0.06,,,5.0,,5.0,,,,,,5.0,,5.0,0.45,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
PLYMOUTH LASER AND SURGICAL CENTER PC,22C0001019,1134293814,PLYMOUTH,MA,2360.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,34.0,49.5,
METAIRIE LA ENDOSCOPY ASC LLC,19C0001071,1134300080,METAIRIE,LA,70006.0,2023,0.0,,0.0,,0.0,,0.06,,91.52,,,5.0,1423.0,No Different Than the National Rate,9.1,6.6,12.6,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
METAIRIE LA ENDOSCOPY ASC LLC,19C0001071,1134300080,METAIRIE,LA,70006.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,53.0,96.2,
MD SURGICAL SOLUTIONS LLC,05C0001845,1134327182,SHERMAN OAKS,CA,91403.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,48.0,No Different than expected,1.1,0.6,2.1,,,,5.0
MD SURGICAL SOLUTIONS LLC,05C0001845,1134327182,SHERMAN OAKS,CA,91403.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
HARBOR PLASTIC SURGERY CENTER PLLC,50C0001291,1134354533,GIG HARBOR,WA,98332.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,138.0,No Different Than the National Rate,2.4,1.6,3.7,,,,,,,5.0,759.0,No Different than expected,0.8,0.5,1.2,,,,5.0
HARBOR PLASTIC SURGERY CENTER PLLC,50C0001291,1134354533,GIG HARBOR,WA,98332.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,8.0,,1.0
METRO HEALTH ASC LLC DBA METRO HEALTH OAM SURGERY CENTER,23C0001111,1134363690,GRAND RAPIDS,MI,49503.0,2023,0.0,,0.0,,0.0,,0.03,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,476.0,No Different Than the National Rate,1.8,1.2,2.6,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
METRO HEALTH ASC LLC DBA METRO HEALTH OAM SURGERY CENTER,23C0001111,1134363690,GRAND RAPIDS,MI,49503.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,156.0,2.3,
SURGERY CENTER OF ZACHARY LLC,19C0001127,1134427297,ZACHARY,LA,70791.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,5.0,,5.0,123.0,No Different Than the National Rate,2.5,1.6,3.9,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
SURGERY CENTER OF ZACHARY LLC,19C0001127,1134427297,ZACHARY,LA,70791.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
BETHESDA CHEVY CHASE SURGERY CENTER LLC DBA BETHESDA CHEVY CHASE SURGERY CENTER,21C0001514,1134431323,BETHESDA,MD,20814.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,1322.0,No Different Than the National Rate,1.9,1.4,2.5,,,,,,,5.0,47.0,No Different than expected,0.9,0.5,1.7,,,,5.0
BETHESDA CHEVY CHASE SURGERY CENTER LLC DBA BETHESDA CHEVY CHASE SURGERY CENTER,21C0001514,1134431323,BETHESDA,MD,20814.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,51.0,96.8,
UROLOGICAL SURGICAL CENTER LLC,11C0001387,1134497910,WARNER ROBINS,GA,31093.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,53.0,No Different Than the National Rate,4.6,2.8,7.5,,,,,,,5.0,,,5.0
UROLOGICAL SURGICAL CENTER LLC,11C0001387,1134497910,WARNER ROBINS,GA,31093.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SURGICAL SPECIALTIES LLC,12C0001022,1134499650,HONOLULU,HI,96813.0,2023,0.0,,0.13,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,93.88,,,5.0,,,,,,5.0,177.0,No Different Than the National Rate,4.3,2.8,6.5,,,Number of Cases Too Small,,,,1.0,,,5.0
SURGICAL SPECIALTIES LLC,12C0001022,1134499650,HONOLULU,HI,96813.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,14.0,34.5,
SUMMIT AMBULATORY SURGICAL CENTER,21C0001161,1134613979,GERMANTOWN,MD,20876.0,2023,,5.0,,5.0,,5.0,0.08,,,5.0,,5.0,,,,,,5.0,98.02,,,5.0,,,,,,5.0,270.0,No Different Than the National Rate,5.4,3.9,7.5,,,Number of Cases Too Small,,,,1.0,,,5.0
