state,condition,measure_id,measure_name,score,footnote,start_date,end_date
IA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),216,25,07/01/2023,06/30/2024
IA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),280,25,07/01/2023,06/30/2024
IA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,3,"25, 26",01/01/2023,12/31/2023
IA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,68,25,07/01/2023,06/30/2024
IA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,97,"25, 26",01/01/2023,12/31/2023
IA,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,100,,01/01/2023,12/31/2023
IA,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,14,,01/01/2023,12/31/2023
IA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,63,"25, 26",07/01/2023,06/30/2024
IA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,72,"25, 26",07/01/2023,06/30/2024
IA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,81,"25, 26",07/01/2023,06/30/2024
IA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,81,"25, 26",07/01/2023,06/30/2024
IA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,92,"25, 26",07/01/2023,06/30/2024
ID,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,4.5,,04/01/2024,06/30/2024
ID,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,81,,10/01/2023,03/31/2024
ID,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,141,"25, 26",07/01/2023,06/30/2024
ID,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),150,"25, 26",07/01/2023,06/30/2024
ID,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),118,"25, 26",07/01/2023,06/30/2024
ID,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),179,"25, 26",07/01/2023,06/30/2024
ID,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),169,"25, 26",07/01/2023,06/30/2024
ID,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,231,25,07/01/2023,06/30/2024
ID,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),251,25,07/01/2023,06/30/2024
ID,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),204,25,07/01/2023,06/30/2024
ID,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),217,25,07/01/2023,06/30/2024
ID,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),274,25,07/01/2023,06/30/2024
ID,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1,"25, 26",01/01/2023,12/31/2023
ID,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,68,25,07/01/2023,06/30/2024
ID,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,97,"25, 26",01/01/2023,12/31/2023
ID,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
ID,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,14,,01/01/2023,12/31/2023
ID,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,60,"25, 26",07/01/2023,06/30/2024
ID,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,69,"25, 26",07/01/2023,06/30/2024
ID,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,86,"25, 26",07/01/2023,06/30/2024
ID,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,79,"25, 26",07/01/2023,06/30/2024
ID,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,89,"25, 26",07/01/2023,06/30/2024
IL,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,14.8,,04/01/2024,06/30/2024
IL,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,87,,10/01/2023,03/31/2024
IL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,171,"25, 26",07/01/2023,06/30/2024
IL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),218,"25, 26",07/01/2023,06/30/2024
IL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),125,"25, 26",07/01/2023,06/30/2024
IL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),188,"25, 26",07/01/2023,06/30/2024
IL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),239,"25, 26",07/01/2023,06/30/2024
IL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,322,25,07/01/2023,06/30/2024
IL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),357,25,07/01/2023,06/30/2024
IL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),304,25,07/01/2023,06/30/2024
IL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),317,25,07/01/2023,06/30/2024
IL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),391,25,07/01/2023,06/30/2024
IL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,4,"25, 26",01/01/2023,12/31/2023
IL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,71,25,07/01/2023,06/30/2024
IL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,94,"25, 26",01/01/2023,12/31/2023
IL,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,92,,01/01/2023,12/31/2023
IL,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,16,,01/01/2023,12/31/2023
IL,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,62,"25, 26",07/01/2023,06/30/2024
IL,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,71,"25, 26",07/01/2023,06/30/2024
IL,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,85,"25, 26",07/01/2023,06/30/2024
IL,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,80,"25, 26",07/01/2023,06/30/2024
IL,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,92,"25, 26",07/01/2023,06/30/2024
IN,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,15.7,,04/01/2024,06/30/2024
IN,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,82,,10/01/2023,03/31/2024
IN,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,129,"25, 26",07/01/2023,06/30/2024
IN,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),180,"25, 26",07/01/2023,06/30/2024
IN,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),117,"25, 26",07/01/2023,06/30/2024
IN,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),158,"25, 26",07/01/2023,06/30/2024
IN,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),114,"25, 26",07/01/2023,06/30/2024
IN,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,199,25,07/01/2023,06/30/2024
IN,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),280,25,07/01/2023,06/30/2024
IN,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),191,25,07/01/2023,06/30/2024
IN,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),227,25,07/01/2023,06/30/2024
IN,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),151,25,07/01/2023,06/30/2024
IN,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
IN,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,75,25,07/01/2023,06/30/2024
IN,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,94,"25, 26",01/01/2023,12/31/2023
IN,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
IN,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,15,,01/01/2023,12/31/2023
IN,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,61,"25, 26",07/01/2023,06/30/2024
IN,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,67,"25, 26",07/01/2023,06/30/2024
IN,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,83,"25, 26",07/01/2023,06/30/2024
IN,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,81,"25, 26",07/01/2023,06/30/2024
IN,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,90,"25, 26",07/01/2023,06/30/2024
KS,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,10.4,,04/01/2024,06/30/2024
KS,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,85,,10/01/2023,03/31/2024
KS,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,121,"25, 26",07/01/2023,06/30/2024
KS,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),145,"25, 26",07/01/2023,06/30/2024
KS,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),118,"25, 26",07/01/2023,06/30/2024
KS,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),170,"25, 26",07/01/2023,06/30/2024
KS,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),168,"25, 26",07/01/2023,06/30/2024
KS,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,181,25,07/01/2023,06/30/2024
KS,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),191,25,07/01/2023,06/30/2024
KS,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),174,25,07/01/2023,06/30/2024
KS,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),241,25,07/01/2023,06/30/2024
KS,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),246,25,07/01/2023,06/30/2024
KS,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
KS,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,68,25,07/01/2023,06/30/2024
KS,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,94,"25, 26",01/01/2023,12/31/2023
KS,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
KS,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,15,,01/01/2023,12/31/2023
KS,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,61,"25, 26",07/01/2023,06/30/2024
KS,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,63,"25, 26",07/01/2023,06/30/2024
KS,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,78,"25, 26",07/01/2023,06/30/2024
KS,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,81,"25, 26",07/01/2023,06/30/2024
KS,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,90,"25, 26",07/01/2023,06/30/2024
KY,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,8.1,,04/01/2024,06/30/2024
KY,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,84,,10/01/2023,03/31/2024
KY,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,152,"25, 26",07/01/2023,06/30/2024
KY,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),191,"25, 26",07/01/2023,06/30/2024
KY,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),127,"25, 26",07/01/2023,06/30/2024
KY,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),167,"25, 26",07/01/2023,06/30/2024
KY,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),174,"25, 26",07/01/2023,06/30/2024
KY,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,214,25,07/01/2023,06/30/2024
KY,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),253,25,07/01/2023,06/30/2024
KY,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),178,25,07/01/2023,06/30/2024
KY,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),220,25,07/01/2023,06/30/2024
KY,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),250,25,07/01/2023,06/30/2024
KY,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
KY,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,68,25,07/01/2023,06/30/2024
KY,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,89,"25, 26",01/01/2023,12/31/2023
KY,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
KY,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,15,,01/01/2023,12/31/2023
KY,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,64,"25, 26",07/01/2023,06/30/2024
KY,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,75,"25, 26",07/01/2023,06/30/2024
KY,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,86,"25, 26",07/01/2023,06/30/2024
KY,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,80,"25, 26",07/01/2023,06/30/2024
KY,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,93,"25, 26",07/01/2023,06/30/2024
LA,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,25.5,,04/01/2024,06/30/2024
LA,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,73,,10/01/2023,03/31/2024
LA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,132,"25, 26",07/01/2023,06/30/2024
LA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),166,"25, 26",07/01/2023,06/30/2024
LA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),109,"25, 26",07/01/2023,06/30/2024
LA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),144,"25, 26",07/01/2023,06/30/2024
LA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),183,"25, 26",07/01/2023,06/30/2024
LA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,243,25,07/01/2023,06/30/2024
LA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),314,25,07/01/2023,06/30/2024
LA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),191,25,07/01/2023,06/30/2024
LA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),259,25,07/01/2023,06/30/2024
LA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),343,25,07/01/2023,06/30/2024
LA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
LA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,64,25,07/01/2023,06/30/2024
LA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91,"25, 26",01/01/2023,12/31/2023
LA,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
LA,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,15,,01/01/2023,12/31/2023
LA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,64,"25, 26",07/01/2023,06/30/2024
LA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,74,"25, 26",07/01/2023,06/30/2024
LA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,86,"25, 26",07/01/2023,06/30/2024
LA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,81,"25, 26",07/01/2023,06/30/2024
LA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,93,"25, 26",07/01/2023,06/30/2024
MA,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,19.2,,04/01/2024,06/30/2024
MA,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,93,,10/01/2023,03/31/2024
MA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,221,"25, 26",07/01/2023,06/30/2024
MA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),241,"25, 26",07/01/2023,06/30/2024
MA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),149,"25, 26",07/01/2023,06/30/2024
MA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),206,"25, 26",07/01/2023,06/30/2024
MA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),247,"25, 26",07/01/2023,06/30/2024
MA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,337,25,07/01/2023,06/30/2024
MA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),396,25,07/01/2023,06/30/2024
MA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),301,25,07/01/2023,06/30/2024
MA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),305,25,07/01/2023,06/30/2024
MA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),338,25,07/01/2023,06/30/2024
MA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,5,"25, 26",01/01/2023,12/31/2023
MA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,70,25,07/01/2023,06/30/2024
MA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,96,"25, 26",01/01/2023,12/31/2023
MA,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
MA,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,18,,01/01/2023,12/31/2023
MA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,58,"25, 26",07/01/2023,06/30/2024
MA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,68,"25, 26",07/01/2023,06/30/2024
MA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,83,"25, 26",07/01/2023,06/30/2024
MA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,78,"25, 26",07/01/2023,06/30/2024
MA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,91,"25, 26",07/01/2023,06/30/2024
MD,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,6.2,,04/01/2024,06/30/2024
MD,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,94,,10/01/2023,03/31/2024
MD,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,250,"25, 26",07/01/2023,06/30/2024
MD,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),264,"25, 26",07/01/2023,06/30/2024
MD,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),154,"25, 26",07/01/2023,06/30/2024
MD,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),242,"25, 26",07/01/2023,06/30/2024
MD,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),238,"25, 26",07/01/2023,06/30/2024
MD,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,433,25,07/01/2023,06/30/2024
MD,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),514,25,07/01/2023,06/30/2024
MD,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),217,25,07/01/2023,06/30/2024
MD,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),355,25,07/01/2023,06/30/2024
MD,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),466,25,07/01/2023,06/30/2024
